0,0,0,-9.7705
1.5e-4,0,0,-9.7198
3.5e-4,0,0,-9.662
5.5e-4,0,0,-9.6041
7.5e-4,0,0,-9.5462
9.5e-4,0,0,-9.4884
0.00115,0,0,-9.4305
0.00135,0,0,-9.3726
0.00155,0,0,-9.3148
0.00175,0,0,-9.2569
0.00195,0,0,-9.199
0.00215,0,0,-9.1412
0.00235,0,0,-9.0833
0.00255,0,0,-9.0254
0.00275,0,0,-8.9676
0.00295,0,0,-8.9097
0.00315,0,0,-8.8518
0.00335,0,0,-8.6782
0.00355,0,0,-8.6204
0.00375,0,0,-8.5625
0.00395,0,0,-8.5046
0.00415,0,0,-8.4468
0.00435,0,0,-8.3889
0.00455,0,0,-8.331
0.00475,0,0,-8.2731
0.00495,0,0,-8.2153
0.00515,0,0,-8.1574
0.00535,0,0,-8.0995
0.00555,0,0,-8.0417
0.00575,0,0,-7.9838
0.00595,0,0,-7.9259
0.00615,0,0,-7.8681
0.00635,0,0,-7.8102
0.00655,0,0,-7.7523
0.00675,0,0,-7.6944
0.00695,0,0,-7.6366
0.00715,0,0,-7.5787
0.00735,0,0,-7.5208
0.00755,0,0,-7.4629
0.00775,0,0,-7.4051
0.00795,0,0,-7.3472
0.00815,0,0,-7.2893
0.00835,0,0,-7.2314
0.00855,0,0,-7.1736
0.00875,0,0,-7.1157
0.00895,0,0,-7.0578
0.00915,0,0,-6.9999
0.00935,0,0,-6.9421
0.00955,0,0,-6.8842
0.00975,0,0,-6.8263
0.00995,0,0,-6.7684
0.01015,0,0,-6.7106
0.01035,0,0,-6.6527
0.01055,0,0,-6.5948
0.01075,0,0,-6.5369
0.01095,0,0,-6.4791
0.01115,0,0,-6.4212
0.01135,0,0,-6.3633
0.01155,0,0,-6.3054
0.01175,0,0,-6.2476
0.01195,0,0,-6.1897
0.01215,0,0,-6.1318
0.01235,0,0,-6.0739
0.01255,0,0,-6.016
0.01275,0,0,-5.9582
0.01295,0,0,-5.9003
0.01315,0,0,-5.8424
0.01335,0,0,-5.7845
0.01355,0,0,-5.7267
0.01375,0,0,-5.6688
0.01395,0,0,-5.6109
0.01415,0,0,-5.553
0.01435,0,0,-5.4951
0.01455,0,0,-5.4373
0.01475,0,0,-5.3794
0.01495,0,0,-5.3215
0.01515,0,0,-5.2636
0.01535,0,0,-5.2057
0.01555,0,0,-5.1478
0.01575,0,0,-5.09
0.01595,0,0,-5.0321
0.01615,0,0,-4.9742
0.01635,0,0,-4.9163
0.01655,0,0,-4.8584
0.01675,0,0,-4.8006
0.01695,0,0,-4.7427
0.01715,0,0,-4.6848
0.01735,0,0,-4.6269
0.01755,0,0,-4.569
0.01775,0,0,-4.5111
0.01795,0,0,-4.4533
0.01815,0,0,-4.3954
0.01835,0,0,-4.3375
0.01855,0,0,-4.2796
0.01875,0,0,-4.2217
0.01895,0,0,-4.1638
0.01915,0,0,-4.1059
0.01935,0,0,-4.0481
0.01955,0,0,-3.9902
0.01975,0,0,-3.9323
0.01995,0,0,-3.8744
0.02015,0,0,-3.8165
0.02035,0,0,-3.7586
0.02055,0,0,-3.7007
0.02075,0,0,-3.6429
0.02095,0,0,-3.585
0.02115,0,0,-3.5271
0.02135,0,0,-3.4692
0.02155,0,0,-3.4113
0.02175,0,0,-3.3534
0.02195,0,0,-3.2955
0.02215,0,0,-3.2376
0.02235,0,0,-3.1798
0.02255,0,0,-3.1219
0.02275,0,0,-3.064
0.02295,0,0,-3.0061
0.02315,0,0,-2.9482
0.02335,0,0,-2.8903
0.02355,0,0,-2.8324
0.02375,0,0,-2.7745
0.02395,0,0,-2.7166
0.02415,0,0,-2.6587
0.02435,0,0,-2.6009
0.02455,0,0,-2.543
0.02475,0,0,-2.4851
0.02495,0,0,-2.4272
0.02515,0,0,-2.3693
0.02535,0,0,-2.3114
0.02555,0,0,-2.2535
0.02575,0,0,-2.1956
0.02595,0,0,-2.1377
0.02615,0,0,-2.0798
0.02635,0,0,-2.0219
0.02655,0,0,-1.964
0.02675,0,0,-1.9062
0.02695,0,0,-1.8483
0.02715,0,0,-1.7904
0.02735,0,0,-1.7325
0.02755,0,0,-1.6746
0.02775,0,0,-1.6167
0.02795,0,0,-1.5588
0.02815,0,0,-1.5009
0.02835,0,0,-1.443
0.02855,0,0,-1.3851
0.02875,0,0,-1.3272
0.02895,0,0,-1.2693
0.02915,0,0,-1.2114
0.02935,0,0,-1.1535
0.02955,0,0,-1.0956
0.02975,0,0,-1.0377
0.02995,0,0,-0.97984
0.03015,0,0,-0.92194
0.03035,0,0,-0.86405
0.03055,0,0,-0.80615
0.03075,0,0,-0.74825
0.03095,0,0,-0.69036
0.03115,0,0,-0.63246
0.03135,0,0,-0.57456
0.03155,0,0,-0.51666
0.03175,0,0,-0.45876
0.03195,0,0,-0.40087
0.03215,0,0,-0.34297
0.03235,0,0,-0.28507
0.03255,0,0,-0.22717
0.03275,0,0,-0.16927
0.03295,0,0,-0.11137
0.03315,0,0,-0.053472
0.03335,0,0,0.0044273
0.03355,0,0,0.062327
0.03375,0,0,0.12023
0.03395,0,4.7542e-6,0.17813
0.03415,0,2.1088e-5,0.23603
0.03435,1.1226e-8,4.9003e-5,0.29393
0.03455,2.5362e-8,8.8497e-5,0.35183
0.03475,4.8555e-8,1.3957e-4,0.40973
0.03495,8.312e-8,2.0223e-4,0.46763
0.03515,1.3138e-7,2.7646e-4,0.52553
0.03535,1.9563e-7,3.6228e-4,0.58344
0.03555,2.7822e-7,4.5967e-4,0.64134
0.03575,3.8143e-7,5.6865e-4,0.69924
