1393871,36.76,101065.65,21.60,0.14,4.89,0.02,-0.14,-0.01,-0.02,0.00,0.78,45.735222,-61.909603,40.60,6154.57,0.17,17:39:22.50
1393931,36.77,101069.30,21.30,0.18,4.87,0.03,-0.14,-0.02,-0.02,0.00,0.78,45.735222,-61.909603,40.60,6154.57,0.17,17:39:22.60
1393991,36.77,101068.85,21.34,0.14,4.87,0.07,-0.14,-0.04,-0.03,0.00,0.78,45.735222,-61.909603,40.60,6154.57,0.19,17:39:22.70
1394051,36.77,101069.40,21.29,0.14,4.88,0.03,-0.14,-0.03,-0.03,0.00,0.78,45.735222,-61.909603,40.60,6154.57,0.20,17:39:22.80
1394111,36.77,101064.82,21.67,0.13,4.91,0.04,-0.14,-0.04,-0.02,0.00,0.78,45.735222,-61.909603,40.60,6154.57,0.20,17:39:22.80
1394171,36.77,101069.70,21.26,0.13,4.87,0.02,-0.14,-0.01,-0.02,0.00,0.78,45.735222,-61.909603,40.60,6154.57,0.20,17:39:22.80
1394231,36.77,101066.84,21.62,0.18,4.88,0.07,-0.14,-0.01,-0.02,0.00,0.78,45.735222,-61.909603,40.60,6154.57,0.20,17:39:22.90
1394291,36.77,101067.32,21.67,0.14,4.87,0.04,-0.14,-0.03,-0.03,0.00,0.78,45.735222,-61.909607,40.60,6154.57,0.04,17:39:23.00
1394351,36.76,101067.70,21.43,0.16,4.88,0.04,-0.14,-0.04,-0.03,0.00,0.78,45.735222,-61.909607,40.60,6154.57,0.04,17:39:23.00
1394411,36.76,101063.82,21.76,0.13,4.88,0.02,-0.15,-0.04,-0.03,0.00,0.78,45.735222,-61.909607,40.60,6154.57,0.04,17:39:23.00
1394471,36.76,101064.24,21.72,0.14,4.87,0.00,-0.14,-0.02,-0.02,0.00,0.78,45.735222,-61.909607,40.60,4544.11,0.19,17:39:23.20
1394531,36.76,101066.60,21.52,0.16,4.87,0.03,-0.15,-0.02,-0.01,0.00,0.78,45.735222,-61.909607,40.60,4544.11,0.19,17:39:23.20
1394591,36.77,101066.20,21.56,0.18,4.87,0.04,-0.13,-0.02,-0.02,0.00,0.78,45.735222,-61.909607,40.60,4544.11,0.19,17:39:23.20
1394651,36.77,101066.48,21.53,0.16,4.86,0.00,-0.15,-0.03,-0.03,0.00,0.78,45.735222,-61.909607,40.60,4544.11,0.17,17:39:23.40
1394711,36.77,101066.97,21.49,0.15,4.86,0.00,-0.14,-0.04,-0.03,0.00,0.78,45.735222,-61.909607,40.60,4544.11,0.17,17:39:23.40
1394771,36.77,101068.24,21.39,0.12,4.90,0.08,-0.15,-0.04,-0.02,0.00,0.78,45.735222,-61.909607,40.60,4544.11,0.17,17:39:23.40
1394831,36.77,101067.70,21.43,0.16,4.87,-0.00,-0.14,-0.02,-0.02,0.00,0.78,45.735222,-61.909607,40.60,4544.11,0.17,17:39:23.50
